year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2016,-1.6460307,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2016,3.709429,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2023,7.3000002,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2025,99.256363,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2025,4.7559185,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2009,44.562954,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2015,8.2816687,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2016,-.76591444,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2008,3.3733485,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2008,-.21113331,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2011,8.075841,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2017,9.8083792,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2025,9.8126163,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2006,-3.1155274,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2016,6.2089987,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2019,-1.0580812,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2014,7.7711406,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2016,61.979424,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2026,1.7689787,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2026,3.5,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2017,-2.2176592,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2024,3.04,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2017,4.9778299,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2022,31.586113,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2026,4.7559185,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2025,51.272774,"AFG","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,223,"14 Aug 2024"
2011,3.6517508,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2023,3.2382503,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2026,103.31803,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2017,3.7013614,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2010,2.8436439,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2012,24.785173,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2005,51.512508,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2024,9.4230375,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2008,35.089577,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2021,56.116306,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2017,96.519409,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2006,.19177479,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2010,166.70547,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2024,3.1325307,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2023,12.49142,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2017,60.159622,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2014,48.566746,"AFG","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,223,"14 Aug 2024"
2024,2.1927714,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2019,98.93158,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2025,98.398125,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2017,9.1406898,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2018,3.7173991,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2007,49.799999,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2026,3.1021662,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2016,-12.839955,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2006,-5.109251,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2019,57.216103,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2020,97.106422,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2014,-.10070512,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2006,,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2021,1.01,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2015,2.1351078,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2018,-3.1777189,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2013,28.687883,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2021,80.959999,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2025,12.228539,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2020,4.7559185,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2021,-1.2360592,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2011,56.824738,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2018,11.074641,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2006,44.921268,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2026,1.95,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2022,9.9286518,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2006,3.7348542,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2018,-2.6760612,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2006,5.0542049,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2026,-25.721952,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2007,192.30579,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2022,93.402664,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2020,-2.3579485,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2023,-.29894,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2005,11.229713,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2026,2.1715164,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2018,-17.759264,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2018,12.872178,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2007,43.542442,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2023,-.7297222,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2023,2.4883635,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2023,4.7559185,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2019,-2,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2020,8.071496,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2008,1.1078122,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2005,49.695004,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2008,8.856287,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2018,87.449028,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2019,-15.326897,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2008,-11.076417,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2012,-.26443688,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2008,-16.756001,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2022,-.7297222,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2016,6.5358334,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2008,70.591393,"AFG","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,223,"14 Aug 2024"
2018,74.955597,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2021,1.2248415,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2005,1.474318,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2008,-6.8484311,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2009,3.3775735,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2019,17.459826,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2006,-4.1077909,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2021,-1.54,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2022,3.0999999,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2019,.57021332,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2013,56.639999,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2008,2.6777971,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2008,-7.8807092,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2019,-2.0586841,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2023,32.018337,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2012,30.16758,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2010,.49520984,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2007,-.93632102,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2018,.62912351,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2005,3.2454281,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2018,-.45520176,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2012,5.402009,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2010,17.354565,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2019,77.400002,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2010,12.225724,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2015,-1.4337314,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2019,29.858744,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2006,112.65333,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2025,-.72980559,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2010,17.983381,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2006,-.57935882,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2024,-.7692337,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2011,5.0093775,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2012,5.879097,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2011,41.584812,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2011,-.19147798,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2010,2.8436439,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2012,1.56059,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2011,82.132683,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2011,5.2167869,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2007,14.700446,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2019,90.984085,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2024,3.5,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2021,-.27838606,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2005,-.9498117,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
